Over18,BusinessTravel,EducationField,Department,Gender,JobRole,MaritalStatus,OverTime,Age,EnvironmentSatisfaction,Education,HourlyRate,JobInvolvement,JobLevel,DistanceFromHome,JobSatisfaction,EmployeeCount,MonthlyIncome,MonthlyRate,NumCompaniesWorked,EmployeeNumber,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRate,Attrition
Y,Travel_Rarely,Other,Research & Development,Male,Laboratory Technician,Single,No,29,2,5,30,2,1,9,4,1,3983,7621,0,455,17,3,3,80,0,4,2,3,3,2,2,2,738,No
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Divorced,No,30,4,3,30,2,2,5,3,1,6118,5431,1,456,13,3,3,80,3,10,2,3,10,9,1,2,570,No
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Married,No,27,2,4,56,3,2,8,2,1,6214,3415,1,458,18,3,1,80,1,8,3,3,8,7,0,7,1130,No
Y,Travel_Rarely,Medical,Research & Development,Male,Manufacturing Director,Divorced,No,37,4,2,61,3,2,5,4,1,6347,23177,7,460,16,3,3,80,2,8,2,2,6,2,0,4,1192,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Director,Divorced,Yes,38,3,2,92,2,3,15,4,1,11510,15682,0,461,14,3,2,80,1,12,3,3,11,10,2,9,343,No
Y,Travel_Rarely,Medical,Research & Development,Female,Manufacturing Director,Single,Yes,31,3,4,39,3,3,7,4,1,7143,25713,1,462,14,3,3,80,0,11,2,2,11,9,4,10,1232,No
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Divorced,Yes,29,4,1,39,2,2,10,2,1,8268,11866,1,463,14,3,1,80,2,7,2,3,7,7,1,7,144,No
Y,Travel_Rarely,Technical Degree,Research & Development,Male,Manufacturing Director,Single,No,35,3,4,62,3,3,5,2,1,8095,18264,0,464,13,3,4,80,0,17,5,3,16,6,0,13,1296,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Divorced,No,23,3,1,83,3,1,26,4,1,2904,16092,1,465,12,3,3,80,2,4,2,2,4,2,0,2,1309,No
Y,Travel_Rarely,Medical,Research & Development,Male,Manufacturing Director,Single,Yes,41,4,3,95,2,2,6,2,1,6032,10110,6,466,15,3,4,80,0,8,3,3,5,4,1,2,483,No
Y,Travel_Frequently,Medical,Sales,Male,Sales Representative,Single,No,47,2,1,99,3,2,4,3,1,2976,25751,3,467,19,3,1,80,0,5,3,3,0,0,0,0,1309,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Research Director,Single,No,42,1,5,44,3,4,23,4,1,15992,15901,2,468,14,3,2,80,0,16,2,3,1,0,0,0,810,No
Y,Non-Travel,Life Sciences,Sales,Male,Sales Executive,Married,No,29,4,3,61,3,2,2,3,1,4649,16928,1,469,14,3,1,80,1,4,3,2,4,3,0,2,746,No
Y,Travel_Rarely,Technical Degree,Human Resources,Male,Human Resources,Divorced,Yes,42,3,1,52,3,1,2,3,1,2696,24017,0,470,11,3,3,80,1,4,5,3,3,2,1,0,544,No
Y,Travel_Rarely,Medical,Research & Development,Female,Laboratory Technician,Married,No,32,3,3,75,3,1,2,2,1,2370,3956,1,471,13,3,3,80,1,8,4,3,8,0,0,7,1062,No
Y,Travel_Rarely,Medical,Sales,Female,Manager,Married,No,48,1,1,91,3,3,29,3,1,12504,23978,3,473,21,4,2,80,1,15,3,1,0,0,0,0,530,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Scientist,Divorced,Yes,37,3,3,51,4,2,6,1,1,5974,17001,4,474,13,3,1,80,2,13,2,3,7,7,6,7,1319,No
Y,Non-Travel,Technical Degree,Sales,Female,Sales Executive,Married,Yes,30,4,2,85,3,2,25,3,1,4736,6069,7,475,12,3,2,80,1,4,2,4,2,2,2,2,641,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Married,No,26,3,3,57,3,2,1,3,1,5296,20156,1,476,17,3,2,80,1,8,3,3,8,7,7,7,933,No
Y,Travel_Rarely,Other,Research & Development,Male,Healthcare Representative,Single,No,42,1,4,98,2,2,2,4,1,6781,17078,3,477,23,4,2,80,0,14,6,3,1,0,0,0,1332,No
Y,Travel_Frequently,Technical Degree,Sales,Female,Sales Representative,Single,Yes,21,1,1,99,2,1,1,2,1,2174,9150,1,478,11,3,3,80,0,3,3,3,3,2,1,2,756,Yes
Y,Non-Travel,Medical,Sales,Female,Sales Executive,Single,No,36,4,5,45,3,2,1,4,1,6653,15276,4,479,15,3,2,80,0,7,6,3,1,0,0,0,845,No
Y,Travel_Frequently,Medical,Sales,Male,Sales Executive,Married,No,36,1,4,48,2,3,3,4,1,9699,7246,4,481,11,3,1,80,1,16,2,3,13,9,1,12,541,No
Y,Travel_Rarely,Medical,Research & Development,Male,Healthcare Representative,Married,No,57,4,4,88,3,2,1,3,1,6755,2967,2,482,11,3,3,80,0,15,2,3,3,2,1,2,593,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Laboratory Technician,Married,Yes,40,4,4,46,4,1,10,3,1,2213,22495,3,483,13,3,3,80,1,10,3,3,7,7,1,7,1171,No
Y,Non-Travel,Medical,Sales,Male,Sales Representative,Single,No,21,1,2,39,3,1,9,4,1,2610,2851,1,484,24,4,3,80,0,3,3,2,3,2,2,2,895,No
Y,Travel_Rarely,Marketing,Sales,Female,Sales Representative,Single,Yes,33,4,3,34,3,1,5,3,1,2851,9150,1,485,13,3,2,80,0,1,2,3,1,0,0,0,350,Yes
Y,Travel_Rarely,Medical,Research & Development,Female,Laboratory Technician,Married,No,37,3,3,98,3,1,10,1,1,3452,17663,6,486,20,4,2,80,1,17,3,3,5,4,0,3,921,No
Y,Non-Travel,Medical,Research & Development,Female,Manufacturing Director,Married,No,46,3,4,30,3,2,7,3,1,5258,16044,2,487,14,3,3,80,0,7,2,4,1,0,0,0,1144,No
Y,Travel_Frequently,Marketing,Sales,Male,Sales Executive,Single,No,41,1,3,56,3,2,4,2,1,9355,9558,1,488,18,3,3,80,0,8,5,3,8,7,7,7,143,Yes
Y,Travel_Rarely,Technical Degree,Research & Development,Male,Healthcare Representative,Single,No,50,4,3,100,2,3,10,4,1,10496,2755,6,491,15,3,4,80,0,20,2,3,4,3,1,3,1046,No
Y,Travel_Rarely,Marketing,Sales,Male,Sales Executive,Married,Yes,40,3,2,68,2,2,22,3,1,6380,6110,2,492,12,3,1,80,2,8,6,3,6,4,1,0,575,Yes
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Single,Yes,31,3,4,42,2,1,9,2,1,2657,7551,0,493,16,3,4,80,0,3,5,3,2,2,2,2,408,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Sales Representative,Single,No,21,3,3,90,4,1,12,2,1,2716,25422,1,494,15,3,4,80,0,1,0,3,1,0,0,0,156,Yes
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Single,No,29,4,3,54,3,1,23,4,1,2201,18168,9,495,16,3,4,80,0,6,4,3,3,2,1,2,1283,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Healthcare Representative,Single,No,35,3,4,97,2,2,9,2,1,6540,19394,9,496,19,3,3,80,0,10,5,3,1,1,0,0,755,No
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Divorced,No,27,4,2,82,3,1,1,2,1,3816,17881,1,497,11,3,2,80,1,5,2,3,5,2,0,4,1469,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Single,No,28,2,4,92,3,2,9,4,1,5253,20750,1,498,16,3,4,80,0,7,1,3,7,5,0,7,304,No
Y,Travel_Rarely,Other,Research & Development,Male,Healthcare Representative,Single,No,49,2,3,31,2,3,7,3,1,10965,12066,8,499,24,4,3,80,0,26,2,3,5,2,0,0,1261,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Sales Executive,Married,No,51,3,2,87,3,2,14,4,1,4936,14862,4,500,11,3,3,80,1,18,2,2,7,7,0,7,1178,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Research Scientist,Married,No,36,4,3,96,3,1,2,3,1,2543,11868,4,501,13,3,2,80,1,6,3,3,2,2,2,2,329,No
Y,Non-Travel,Marketing,Sales,Male,Sales Executive,Single,Yes,34,1,3,67,4,2,19,4,1,5304,4652,8,502,13,3,2,80,0,9,3,2,5,2,0,4,1362,Yes
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Manager,Single,Yes,55,3,3,97,3,4,2,4,1,16659,23258,2,505,13,3,3,80,0,30,2,3,5,4,1,2,1311,No
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Divorced,Yes,24,4,4,77,3,2,10,3,1,4260,5915,1,507,12,3,4,80,1,5,2,4,5,2,0,3,1371,No
Y,Travel_Rarely,Technical Degree,Sales,Male,Sales Representative,Married,No,30,3,1,72,3,1,2,2,1,2476,17434,1,508,18,3,1,80,1,1,3,3,1,0,0,0,202,No
Y,Travel_Frequently,Technical Degree,Research & Development,Male,Research Scientist,Single,No,26,3,1,73,3,1,3,1,1,3102,6582,0,510,22,4,3,80,0,7,2,3,6,4,0,4,575,Yes
Y,Travel_Rarely,Medical,Research & Development,Female,Research Scientist,Married,No,22,1,3,43,3,1,11,2,1,2244,24440,1,511,13,3,4,80,1,2,1,3,2,1,1,2,253,No
Y,Travel_Rarely,Medical,Sales,Male,Sales Executive,Married,No,36,2,2,61,2,3,2,3,1,7596,3809,1,513,13,3,2,80,2,10,2,3,10,9,9,0,164,No
Y,Travel_Frequently,Technical Degree,Research & Development,Male,Research Scientist,Single,Yes,30,3,3,40,3,1,4,4,1,2285,3427,9,514,23,4,3,80,0,3,4,3,1,0,0,0,464,Yes
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Laboratory Technician,Divorced,No,37,4,3,95,3,1,14,1,1,3034,26914,1,515,12,3,3,80,1,18,2,2,18,7,12,17,1107,No
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Divorced,No,40,4,2,46,3,2,2,2,1,5715,22553,7,516,12,3,3,80,2,8,5,3,5,4,1,3,759,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Laboratory Technician,Divorced,No,42,2,4,95,3,1,1,1,1,2576,20490,3,517,16,3,2,80,1,8,5,3,5,2,1,2,201,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Manufacturing Director,Single,Yes,37,3,4,49,3,2,10,2,1,4197,21123,2,518,12,3,4,80,0,18,2,2,1,0,0,1,1305,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Director,Divorced,No,43,1,3,59,2,4,12,2,1,14336,4345,1,520,11,3,3,80,1,25,3,3,25,10,3,9,982,No
Y,Travel_Rarely,Medical,Research & Development,Female,Laboratory Technician,Married,No,40,2,3,78,2,2,2,3,1,3448,13436,6,521,22,4,2,80,1,20,3,3,1,0,0,0,555,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Director,Married,No,54,1,2,86,3,5,5,1,1,19406,8509,4,522,11,3,3,80,1,24,4,2,4,2,1,2,821,No
Y,Non-Travel,Marketing,Sales,Female,Sales Executive,Married,No,34,3,4,72,3,2,4,3,1,6538,12740,9,523,15,3,1,80,1,6,3,3,3,2,1,2,1381,No
Y,Travel_Rarely,Medical,Research & Development,Female,Manufacturing Director,Married,No,31,2,2,31,3,2,7,1,1,4306,4156,1,524,12,3,2,80,1,13,5,1,13,10,3,12,480,No
Y,Travel_Frequently,Medical,Research & Development,Male,Laboratory Technician,Married,No,43,4,3,61,3,1,21,4,1,2258,15238,7,525,20,4,1,80,1,8,1,3,3,2,1,2,313,No
Y,Travel_Rarely,Other,Research & Development,Female,Healthcare Representative,Divorced,Yes,43,3,4,74,3,2,8,3,1,4522,2227,4,526,14,3,4,80,0,8,3,3,5,2,0,2,1473,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Sales Executive,Single,Yes,25,2,2,99,2,2,4,4,1,4487,12090,1,527,11,3,2,80,0,5,3,3,5,4,1,3,891,No
Y,Non-Travel,Medical,Research & Development,Female,Research Scientist,Married,Yes,37,2,5,72,3,2,25,3,1,4449,23866,3,529,15,3,1,80,2,15,2,3,13,11,10,7,1063,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Married,No,31,4,2,98,2,1,1,1,1,2218,16193,1,530,12,3,3,80,1,4,3,3,4,2,3,2,329,No
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Manager,Divorced,Yes,39,2,1,52,3,5,1,3,1,19197,8213,1,531,14,3,3,80,1,21,3,3,21,8,1,6,1218,No
Y,Travel_Frequently,Life Sciences,Sales,Female,Sales Executive,Married,No,56,3,3,86,4,4,6,1,1,13212,18256,9,532,11,3,4,80,3,36,0,2,7,7,7,7,906,No
Y,Travel_Rarely,Technical Degree,Sales,Female,Sales Executive,Single,No,30,2,3,83,3,2,12,3,1,6577,19558,0,533,11,3,2,80,0,6,6,3,5,4,4,4,1082,No
Y,Travel_Rarely,Marketing,Sales,Male,Sales Executive,Married,No,41,2,3,49,4,3,1,1,1,8392,19566,1,534,16,3,3,80,1,10,2,3,10,7,0,7,645,No
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Divorced,No,28,3,2,79,3,2,17,1,1,4558,13535,1,536,12,3,4,80,1,10,2,3,10,0,1,8,1300,No
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Married,No,25,1,3,91,3,1,3,1,1,4031,9396,5,538,13,3,3,80,1,6,5,3,2,2,0,2,688,Yes
Y,Travel_Rarely,Medical,Research & Development,Male,Manufacturing Director,Married,Yes,52,4,3,39,2,3,3,3,1,7969,19609,2,543,14,3,3,80,0,28,4,3,5,4,0,4,319,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Married,No,45,1,2,69,3,1,10,4,1,2654,9655,3,544,21,4,4,80,2,8,3,2,2,2,0,2,192,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Manager,Married,No,52,4,2,30,3,4,4,4,1,16555,10310,2,546,13,3,4,80,0,31,2,1,5,2,1,4,1490,No
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Research Scientist,Divorced,No,42,1,2,92,3,2,29,3,1,4556,12932,2,547,11,3,2,80,1,19,3,3,5,4,0,2,532,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Manufacturing Director,Single,No,30,3,3,43,1,2,2,4,1,6091,24793,2,548,20,4,3,80,0,11,2,3,5,4,0,2,317,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Manager,Married,No,60,1,3,41,3,5,7,1,1,19566,3854,5,549,11,3,4,80,0,33,5,1,29,8,11,10,422,No
Y,Travel_Rarely,Medical,Research & Development,Female,Manufacturing Director,Divorced,No,46,3,3,87,3,2,18,3,1,4810,26314,2,550,14,3,3,80,1,19,5,2,10,7,0,8,1485,No
Y,Travel_Frequently,Technical Degree,Research & Development,Female,Healthcare Representative,Married,No,42,4,4,88,2,2,28,4,1,4523,4386,0,551,11,3,4,80,3,7,4,4,6,5,0,4,1368,No
Y,Travel_Rarely,Technical Degree,Sales,Female,Sales Representative,Single,Yes,24,1,1,62,3,1,1,2,1,3202,21972,1,554,16,3,2,80,0,6,4,3,5,3,1,4,1448,Yes
Y,Travel_Frequently,Marketing,Sales,Female,Sales Representative,Divorced,No,34,4,2,33,1,1,6,3,1,2351,12253,0,555,16,3,4,80,1,3,3,2,2,2,1,0,296,Yes
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Laboratory Technician,Married,Yes,38,4,2,42,3,1,2,4,1,1702,12106,1,556,23,4,3,80,1,1,3,3,1,0,0,0,1490,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Manager,Married,No,40,3,4,79,3,5,2,3,1,18041,13022,0,558,14,3,4,80,0,21,2,3,20,15,1,12,1398,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Research Scientist,Divorced,No,26,1,3,90,3,1,23,4,1,2886,3032,1,560,22,4,2,80,2,3,3,1,3,2,0,2,1349,No
Y,Non-Travel,Life Sciences,Research & Development,Male,Laboratory Technician,Married,No,30,3,3,53,3,1,3,4,1,2097,16734,4,562,15,3,3,80,1,9,3,1,5,3,1,4,1400,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Director,Married,No,29,2,4,93,2,3,3,3,1,11935,21526,1,564,18,3,3,80,0,10,2,3,10,2,0,7,986,No
Y,Travel_Rarely,Technical Degree,Research & Development,Female,Research Scientist,Married,No,29,3,5,71,2,1,25,2,1,2546,18300,5,565,16,3,2,80,0,6,2,4,2,2,1,1,408,Yes
Y,Travel_Rarely,Technical Degree,Human Resources,Male,Human Resources,Single,No,19,1,2,52,2,1,2,4,1,2564,18437,1,566,12,3,3,80,0,1,3,4,1,0,0,0,489,Yes
Y,Non-Travel,Other,Sales,Female,Sales Executive,Married,No,30,3,4,69,3,3,22,1,1,8412,2890,0,567,11,3,3,80,0,10,3,3,9,8,7,8,1398,No
Y,Travel_Rarely,Marketing,Sales,Male,Manager,Divorced,No,57,1,3,56,2,4,29,4,1,14118,22102,3,568,12,3,3,80,1,32,3,2,1,0,0,0,210,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Manager,Married,No,50,2,4,88,2,4,29,3,1,17046,9314,0,569,15,3,2,80,1,28,2,3,27,10,15,7,1099,No
Y,Non-Travel,Medical,Research & Development,Female,Laboratory Technician,Single,No,30,3,3,49,3,1,2,4,1,2564,7181,0,571,14,3,3,80,0,12,2,2,11,7,6,7,1116,No
Y,Travel_Frequently,Marketing,Sales,Female,Sales Executive,Married,No,60,3,3,80,2,3,28,1,1,10266,2845,4,573,19,3,4,80,0,22,5,4,18,13,13,11,1499,No
Y,Travel_Rarely,Medical,Research & Development,Female,Manufacturing Director,Divorced,No,47,1,2,65,3,2,2,4,1,5070,7389,5,574,13,3,3,80,3,20,2,3,5,0,0,4,983,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Director,Married,No,46,1,3,51,3,4,2,3,1,17861,2288,6,575,13,3,3,80,0,26,2,1,3,2,0,1,1009,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Single,No,35,4,3,46,1,1,22,3,1,4230,19225,0,577,15,3,3,80,0,6,2,3,5,4,4,3,144,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Laboratory Technician,Single,No,54,3,4,42,3,2,8,3,1,3780,23428,7,578,11,3,3,80,0,19,3,3,1,0,0,0,548,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Divorced,No,34,4,4,62,2,1,2,3,1,2768,8416,3,579,12,3,3,80,1,14,3,3,7,3,5,7,1303,No
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Married,Yes,46,3,3,94,2,3,10,4,1,9071,11563,2,580,19,3,3,80,1,15,3,3,3,2,1,2,1125,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Manufacturing Director,Divorced,No,31,3,1,33,3,3,9,2,1,10648,14394,1,581,25,4,4,80,1,13,6,4,13,8,0,8,1274,No
Y,Travel_Rarely,Medical,Research & Development,Male,Manager,Married,Yes,33,2,1,56,3,3,15,3,1,13610,24619,7,582,12,3,4,80,0,15,2,4,7,6,7,7,1277,Yes
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Divorced,No,33,1,1,38,1,1,10,4,1,3408,6705,7,584,13,3,1,80,3,8,2,3,4,3,1,3,587,Yes
Y,Travel_Rarely,Marketing,Sales,Male,Sales Representative,Single,No,30,4,1,57,3,1,7,2,1,2983,18398,0,585,14,3,1,80,0,4,3,3,3,2,1,2,413,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Healthcare Representative,Married,Yes,35,4,3,72,3,3,16,3,1,7632,14295,4,586,12,3,3,80,0,10,2,3,8,7,0,0,1276,No
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Healthcare Representative,Married,No,31,1,3,66,3,3,20,3,1,9824,22908,3,587,12,3,1,80,0,12,2,3,1,0,0,0,534,Yes
Y,Travel_Frequently,Human Resources,Human Resources,Female,Human Resources,Divorced,Yes,34,2,3,43,3,3,23,1,1,9950,11533,9,590,15,3,3,80,3,11,2,3,3,2,0,2,988,Yes
Y,Travel_Frequently,Other,Research & Development,Male,Laboratory Technician,Married,No,42,2,2,97,3,1,5,3,1,2093,9260,4,591,17,3,4,80,1,8,4,3,2,2,2,0,1474,No
Y,Non-Travel,Medical,Sales,Male,Sales Executive,Single,No,36,2,4,32,3,3,10,4,1,9980,15318,1,592,14,3,4,80,0,10,3,2,10,3,9,7,635,No
Y,Travel_Frequently,Technical Degree,Research & Development,Male,Laboratory Technician,Single,No,22,3,1,99,2,1,4,3,1,3894,9129,5,593,16,3,3,80,0,4,3,3,2,2,1,2,1368,Yes
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Married,No,48,2,5,37,3,2,2,4,1,4051,19658,2,595,14,3,1,80,1,14,2,3,9,7,6,7,163,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Manager,Single,No,55,1,5,83,3,4,18,2,1,16835,9873,3,597,23,4,4,80,0,37,2,3,10,9,7,7,1117,No
Y,Non-Travel,Life Sciences,Sales,Male,Sales Executive,Single,No,41,4,2,56,3,2,10,4,1,6230,13430,7,599,14,3,4,80,0,16,3,3,14,3,1,10,267,No
Y,Travel_Rarely,Marketing,Sales,Male,Sales Executive,Married,No,35,2,3,85,3,2,1,3,1,4717,18659,9,600,11,3,3,80,0,15,2,3,11,9,6,9,619,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Manufacturing Director,Single,No,40,2,3,75,3,4,6,3,1,13237,20364,7,601,15,3,3,80,0,22,3,3,20,6,5,13,302,No
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Laboratory Technician,Married,No,39,3,1,48,3,1,8,3,1,3755,17872,1,602,11,3,1,80,1,8,3,3,8,3,0,7,443,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Single,Yes,31,2,1,77,3,2,2,4,1,6582,8346,4,604,13,3,3,80,0,10,2,4,6,5,0,5,828,No
Y,Travel_Rarely,Medical,Research & Development,Male,Manufacturing Director,Married,Yes,42,4,3,56,3,3,24,1,1,7406,6950,1,605,21,4,4,80,1,10,5,2,10,9,5,8,319,No
Y,Travel_Rarely,Other,Sales,Male,Sales Executive,Married,No,45,4,3,61,3,2,2,2,1,4805,16177,0,606,19,3,2,80,1,9,3,4,8,7,3,7,561,No
Y,Travel_Frequently,Life Sciences,Human Resources,Female,Human Resources,Divorced,Yes,26,2,4,58,3,1,17,3,1,2741,22808,0,608,11,3,2,80,1,8,2,2,7,7,1,0,426,Yes
Y,Travel_Rarely,Technical Degree,Research & Development,Male,Manufacturing Director,Divorced,No,29,4,3,34,3,2,19,4,1,4262,22645,4,611,12,3,2,80,2,8,2,4,3,2,1,2,232,No
Y,Travel_Rarely,Medical,Research & Development,Female,Research Director,Divorced,No,33,1,5,95,4,4,1,3,1,16184,22578,4,612,19,3,3,80,1,10,2,3,6,1,0,5,922,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Manager,Divorced,No,31,3,3,44,2,3,7,4,1,11557,25291,9,613,21,4,3,80,1,10,3,2,5,4,0,1,688,No
Y,Travel_Frequently,Marketing,Sales,Male,Sales Representative,Single,Yes,18,2,3,69,3,1,5,2,1,1878,8059,1,614,14,3,4,80,0,0,3,3,0,0,0,0,1306,Yes
Y,Non-Travel,Other,Sales,Male,Sales Executive,Divorced,No,40,3,3,58,1,3,28,1,1,10932,11373,3,615,15,3,3,80,1,20,2,3,1,0,0,1,1094,No
Y,Non-Travel,Other,Research & Development,Female,Healthcare Representative,Single,Yes,41,1,4,62,2,2,2,3,1,6811,2112,2,616,17,3,1,80,0,10,3,3,8,7,0,7,509,No
Y,Travel_Rarely,Medical,Sales,Male,Sales Executive,Divorced,No,26,1,2,45,3,2,29,3,1,4306,4267,5,618,12,3,1,80,2,8,5,3,0,0,0,0,775,No
Y,Travel_Rarely,Medical,Sales,Female,Sales Executive,Single,No,35,1,3,80,3,2,1,3,1,4859,6698,1,620,16,3,4,80,0,5,3,3,5,4,0,3,195,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Single,No,34,4,4,74,4,2,21,4,1,5337,19921,1,621,12,3,4,80,0,10,3,3,10,7,5,7,258,No
Y,Travel_Rarely,Technical Degree,Research & Development,Male,Laboratory Technician,Single,Yes,26,3,3,66,1,1,24,4,1,2340,23213,1,622,18,3,2,80,0,1,3,1,1,0,0,0,471,Yes
Y,Travel_Rarely,Technical Degree,Research & Development,Female,Manufacturing Director,Single,No,37,2,3,59,3,3,1,4,1,7491,23848,4,623,17,3,4,80,0,12,3,4,6,5,1,2,799,No
Y,Travel_Frequently,Medical,Research & Development,Female,Healthcare Representative,Married,No,46,1,1,86,3,3,18,3,1,10527,8984,5,624,11,3,4,80,0,28,3,2,2,2,1,2,1034,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Manager,Married,No,41,2,5,91,3,4,2,1,1,16595,5626,7,625,16,3,2,80,1,22,2,3,18,16,11,8,1276,No
Y,Non-Travel,Medical,Sales,Male,Sales Executive,Divorced,No,37,1,4,69,3,3,9,2,1,8834,24666,1,626,13,3,4,80,1,9,6,3,9,5,7,7,142,No
Y,Travel_Rarely,Technical Degree,Research & Development,Male,Research Scientist,Divorced,Yes,52,4,2,78,3,2,6,1,1,5577,22087,3,630,12,3,2,80,2,18,3,3,10,9,6,9,956,No
Y,Non-Travel,Other,Sales,Male,Sales Executive,Married,No,32,4,4,60,4,2,11,3,1,4707,23914,8,631,12,3,4,80,0,6,2,3,4,2,1,2,1474,Yes
Y,Travel_Frequently,Medical,Sales,Male,Sales Representative,Married,No,24,4,3,38,3,1,24,4,1,2400,5530,0,632,13,3,3,80,2,3,3,3,2,2,2,1,535,No
Y,Travel_Rarely,Medical,Research & Development,Female,Healthcare Representative,Married,No,38,3,3,76,3,2,10,3,1,9824,22174,3,634,19,3,3,80,1,18,4,3,1,0,0,0,1495,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Manufacturing Director,Married,No,37,2,4,65,3,2,1,2,1,6447,15701,6,635,12,3,2,80,1,8,2,2,6,5,4,3,446,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Director,Divorced,Yes,49,4,4,58,2,5,18,3,1,19502,2125,1,638,17,3,3,80,1,31,5,3,31,9,0,9,1245,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Scientist,Married,Yes,24,2,3,89,4,1,23,4,1,2725,21630,1,639,11,3,2,80,2,6,3,3,6,5,1,4,691,No
Y,Travel_Rarely,Marketing,Sales,Male,Sales Executive,Married,No,26,1,2,66,3,2,28,2,1,6272,7428,1,641,20,4,4,80,2,6,5,4,5,3,1,4,703,No
Y,Travel_Rarely,Other,Research & Development,Male,Laboratory Technician,Married,No,24,4,2,94,2,1,17,2,1,2127,9100,1,643,21,4,4,80,1,1,2,3,1,0,0,0,823,No
Y,Travel_Frequently,Medical,Human Resources,Male,Manager,Married,No,50,1,3,99,3,5,3,2,1,18200,7999,1,644,11,3,3,80,1,32,2,3,32,5,10,7,1246,No
Y,Travel_Rarely,Medical,Sales,Male,Sales Representative,Married,No,25,2,1,40,3,1,13,3,1,2096,26376,1,645,11,3,3,80,0,7,1,3,7,4,0,6,622,No
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Laboratory Technician,Married,Yes,24,1,3,55,3,1,7,3,1,2886,14168,1,647,16,3,4,80,1,6,4,3,6,3,1,2,1287,Yes
